,name,gender,email,kitnumber,age,type,Mt,Y,autosomaltotalcm,autosomallargest,gen,xdnatotalcm,xdnalargest,source,overlap
24,Kaleb Marr,Female,kmarro@thetimes.co.uk,Q164909,2261,2,,R1b,6,7Q,86,9,1,Migration - F2 - T,N/A
25,Conant MacPeake,Female,cmacpeakep@google.es,S226732,2033,1,H6a1,Z1h,1,4Q,92,0,9,Migration - F2 - T,N/A
26,Donalt Kier,Agender,dkierq@pinterest.com,T121003,1484,1,K2b1, ,0,3Q,14,8,9,Custom Superkit,N/A
27,Agna Leppingwell,Non-binary,aleppingwellr@soundcloud.com,H256592,2232,2,K1a,I M253,4,0Q,23,3,8,Migration - F2 - T,N/A
28,Calida Bonin,Male,cbonins@google.pl,Q237793,2321,1,H1e1a, ,6,1Q,84,7,2,Custom Superkit,N/A
29,Katherina Danzelman,Female,kdanzelmant@state.tx.us,A265106,1740,2,J1c2,R1b,2,7Q,47,8,8,Migration - V4 - M,N/A
30,Ynez Pietrasik,Male,ypietrasiku@so-net.ne.jp,U297671,1134,1,H,T2g,1,6Q,18,8,7,Custom Superkit,N/A
31,Margret Thridgould,Female,mthridgouldv@ucla.edu,D167481,623,1,H1a1,T2g,3,8Q,26,4,5,Migration - F2 - A,N/A
32,Bertie Stooke,Female,bstookew@etsy.com,X127206,764,1,J1c2,I M253,8,0Q,69,1,6,Migration - F2 - T,N/A
33,Molli Sherwen,Male,msherwenx@nymag.com,Y170461,2117,2,K2b1,T2g,5,4Q,4,2,4,Migration - F2 - T,N/A
34,Chadwick Manclark,Female,cmanclarky@sourceforge.net,C274505,887,2,H6a1,T2g,8,2Q,98,0,4,23andMe,N/A
35,Monique Elks,Female,melksz@boston.com,M269957,388,1,H,R2f,6,2Q,51,5,2,Migration - F2 - T,N/A
36,Alard Sealeaf,Genderqueer,asealeaf10@nationalgeographic.com,D268121,2258,2,H,Z1h,0,0Q,21,2,8,Ancestry,N/A
37,Gretchen Jansson,Male,gjansson11@nydailynews.com,F252676,2345,1,K2b1,I M253,5,7Q,84,2,9,Migration - F2 - T,N/A
38,Arlette Moody,Male,amoody12@wix.com,I284926,2115,1,T2b,R-M167,7,4Q,98,6,0,Ancestry,N/A
39,Mitzi Bussons,Female,mbussons13@msn.com,P288931,654,2,,R1b,3,1Q,87,9,0,23andMe,N/A
40,Devin Wethers,Genderfluid,dwethers14@youku.com,Q258966,1332,1,H1e1a,I M253,7,0Q,35,2,5,Ancestry,N/A
41,Nicoline Keneleyside,Female,nkeneleyside15@github.io,A272915,539,2,H6a1,Z1h,8,2Q,11,7,3,23andMe,N/A
42,Marielle Matusevich,Female,mmatusevich16@printfriendly.com,U197174,1703,2,K1a, ,2,8Q,5,8,5,23andMe,N/A
43,Pepi Luna,Male,pluna17@independent.co.uk,X151146,810,1,K2b1,R1b,5,2Q,26,5,2,23andMe,N/A
44,Nathan Whaley,Female,nwhaley18@tinypic.com,G118971,2324,1,H,R1b,1,3Q,86,4,4,Ancestry,N/A
45,Mikol Hanwell,Female,mhanwell19@bigcartel.com,D225354,1805,2,H,T2g,6,7Q,76,4,8,Migration - F2 - A,N/A
46,Dominique Kermode,Male,dkermode1a@delicious.com,D213837,763,1,,Z1h,9,8Q,83,1,1,Migration - F2 - A,N/A
47,Beryle Elsmere,Male,belsmere1b@sun.com,F188819,687,1,J1b1a1,I M253,3,9Q,91,4,0,Ancestry,N/A
48,Godfry Bleas,Polygender,gbleas1c@wisc.edu,W149968,2120,1,K1a,R2f,9,6Q,39,3,0,Migration - F2 - T,N/A
49,Hanan Willman,Female,hwillman1d@mac.com,M225409,1805,1,H1a1,R-M167,1,2Q,34,4,7,Migration - F2 - T,N/A
50,Rodi Ellar,Female,rellar1e@fema.gov,E194613,1883,1,H1a1,T2g,2,5Q,33,2,1,Ancestry,N/A
51,Rochette Hughs,Male,rhughs1f@jiathis.com,J113045,1129,2,H1e1a,R-M167,9,1Q,10,8,7,Custom Superkit,N/A
52,Tess Bertelet,Female,tbertelet1g@edublogs.org,Q173366,931,2,H6a1,R2f,0,9Q,23,1,7,Migration - F2 - T,N/A
53,Christabel Athy,Male,cathy1h@technorati.com,H214889,1797,2,H,R-M167,4,5Q,35,4,2,23andMe,N/A
54,Donni Crownshaw,Non-binary,dcrownshaw1i@archive.org,N234193,1998,1,K1a,R2f,5,3Q,15,4,9,23andMe,N/A
55,Trudey Milbank,Male,tmilbank1j@ibm.com,S224055,1996,1,H1a1, ,1,6Q,63,5,9,23andMe,N/A
56,Suzy Veryan,Male,sveryan1k@ted.com,E220783,178,2,J1b1a1,R1b,3,6Q,19,8,7,Migration - F2 - T,N/A
57,Rik Roddell,Female,rroddell1l@wired.com,P286576,1642,1,K2b1,R-M167,2,8Q,80,3,5,Migration - F2 - A,N/A
58,Nobie Bearman,Male,nbearman1m@forbes.com,P240706,498,1,T2b, ,0,3Q,7,7,5,Ancestry,N/A
59,Lorrie Morritt,Male,lmorritt1n@aol.com,B240028,224,1,,R-M167,3,3Q,75,3,7,Migration - F2 - T,N/A
60,Nataniel Castelot,Male,ncastelot1o@nationalgeographic.com,Y213606,1840,2,H,R2f,3,8Q,98,7,9,Migration - F2 - A,N/A
61,Alie Hawtrey,Female,ahawtrey1p@si.edu,W190629,202,1,T2b,R1b,5,2Q,31,7,9,Custom Superkit,N/A
62,Rogers Moorton,Male,rmoorton1q@bandcamp.com,E243401,275,2,K2b1,R1b,4,2Q,28,3,8,Ancestry,N/A
63,Zara Clewley,Female,zclewley1r@shinystat.com,W224474,2162,2,H,R2f,0,6Q,56,2,6,Migration - V4 - M,N/A
64,Clim Gatlin,Male,cgatlin1s@wordpress.com,O201150,1965,2,T2b, ,5,2Q,24,8,6,Migration - F2 - T,N/A
65,Ora Divell,Female,odivell1t@moonfruit.com,H279095,1073,1,H6a1,T2g,4,6Q,37,2,7,23andMe,N/A
66,Clark Blaxall,Non-binary,cblaxall1u@epa.gov,F174223,1829,1,H,T2g,6,7Q,30,5,3,Migration - F2 - T,N/A
67,Roana Reynoldson,Female,rreynoldson1v@nsw.gov.au,A116309,533,2,H,Z1h,8,5Q,74,9,5,Migration - F2 - T,N/A
68,Clara Hourstan,Male,chourstan1w@usa.gov,V269561,1790,2,K1a,Z1h,7,3Q,21,6,9,Migration - V4 - M,N/A
69,Rhea Marthen,Female,rmarthen1x@1688.com,E105254,1088,2,J1c2,Z1h,5,5Q,94,4,0,Migration - F2 - T,N/A
70,Cathie Rummer,Male,crummer1y@thetimes.co.uk,J217715,987,1,J1b1a1,Z1h,4,5Q,72,9,6,23andMe,N/A
71,Blithe Fillis,Female,bfillis1z@baidu.com,N291469,1798,1,K1a,T2g,0,5Q,21,9,7,23andMe,N/A
72,Doralynne Baglow,Male,dbaglow20@npr.org,D123520,2351,2,K1a,R2f,1,0Q,78,8,5,23andMe,N/A
73,Ginny McUre,Male,gmcure21@wufoo.com,C272445,2133,2,K2b1,R1b,3,0Q,44,9,0,Migration - F2 - A,N/A
74,Kelsy Dowbekin,Male,kdowbekin22@home.pl,T275639,747,1,K1a,I M253,7,6Q,97,6,0,Migration - F2 - A,N/A
75,Mychal Mitchley,Female,mmitchley23@indiatimes.com,I174857,2171,2,T2b,I M253,8,4Q,5,2,7,Migration - F2 - A,N/A
76,Tami Readie,Male,treadie24@flavors.me,Q162917,383,2,H,R-M167,9,9Q,88,7,2,Custom Superkit,N/A
77,Tiffany Axten,Male,taxten25@networksolutions.com,H158487,820,2,H1e1a,T2g,4,2Q,47,0,2,Migration - F2 - A,N/A
78,Antonina Peller,Male,apeller26@google.com.au,X139847,2210,2,H,R2f,3,5Q,34,2,4,Custom Superkit,N/A
79,Elroy Shirland,Female,eshirland27@domainmarket.com,J259776,1052,2,K2b1,R1b,1,8Q,15,8,5,Ancestry,N/A
80,Marijn Fain,Female,mfain28@china.com.cn,X243206,292,2,J1c2,T2g,6,6Q,92,5,2,Custom Superkit,N/A
81,Edan Cleen,Bigender,ecleen29@mozilla.com,T185006,889,1,,I M253,7,6Q,32,6,9,Migration - V4 - M,N/A
82,Salvador Dzenisenka,Female,sdzenisenka2a@howstuffworks.com,F169745,596,1,J1b1a1,R2f,7,0Q,52,6,0,Ancestry,N/A
83,Seumas Saice,Female,ssaice2b@wired.com,N163121,764,2,H6a1,R1b,9,2Q,96,8,2,Ancestry,N/A
84,Morlee McBrearty,Male,mmcbrearty2c@netlog.com,X202523,970,1,H,R-M167,5,9Q,5,8,9,Migration - V4 - M,N/A
85,Rafael Shawyer,Male,rshawyer2d@tuttocitta.it,X293257,823,2,H6a1, ,5,8Q,51,9,0,Migration - V4 - M,N/A
86,Mead Redley,Male,mredley2e@wordpress.org,G140406,1593,2,H1e1a,R1b,7,3Q,1,5,4,Custom Superkit,N/A
87,Shandee Winterbottom,Female,swinterbottom2f@indiegogo.com,Y182739,572,1,H6a1,R2f,9,1Q,29,1,5,Migration - V4 - M,N/A
88,Orrin Moultrie,Female,omoultrie2g@ustream.tv,Q280780,976,2,,T2g,4,7Q,46,8,1,Migration - V4 - M,N/A
89,Jeremie Mannooch,Male,jmannooch2h@salon.com,E297975,1707,1,J1c2,R-M167,1,5Q,40,0,8,Migration - F2 - A,N/A
90,Genni Orrice,Male,gorrice2i@examiner.com,D185269,2024,1,H,R-M167,5,2Q,11,8,0,Custom Superkit,N/A
91,Gert Durgan,Female,gdurgan2j@cbsnews.com,A293232,2364,2,K1a,R2f,1,4Q,9,5,7,Migration - F2 - T,N/A
92,Benyamin Mullin,Male,bmullin2k@illinois.edu,N293853,1617,2,H, ,7,6Q,65,9,4,Migration - F2 - A,N/A
93,Theresa Kilby,Male,tkilby2l@latimes.com,F146576,1582,2,H1a1,R2f,5,8Q,99,5,1,Custom Superkit,N/A
94,Francisca De Mars,Male,fdemars2m@aboutads.info,S116083,2378,2,T2b,R2f,9,9Q,68,6,3,Migration - V4 - M,N/A
95,Bonni Ballin,Male,bballin2n@aol.com,W127205,1072,1,T2a1a,R-M167,9,8Q,20,4,1,Migration - F2 - A,N/A
96,Early Bispham,Female,ebispham2o@jigsy.com,M219660,1547,1,J1c2,R1b,5,0Q,49,3,5,Migration - F2 - T,N/A
97,Kendell Hitter,Male,khitter2p@google.ru,U131571,1665,2,J1c2,R1b,4,9Q,28,3,4,23andMe,N/A
98,Tam Stannas,Male,tstannas2q@cloudflare.com,D163811,1065,2,T2a1a,I M253,2,8Q,84,4,8,Custom Superkit,N/A
99,Bobbi Savory,Female,bsavory2r@google.nl,Q205868,1853,2,T2a1a,R2f,3,0Q,37,0,2,Ancestry,N/A
